Title,Land Size,Location,Total Price,Monthly Payment
House For Sale In Negombo,"Beds-5, Baths-3 Size-4550sqft",,"69,500,000","987,477"
House For Sale In Bopitiya,"Beds-3, Baths-2 Size-1500sqft",,"17,500,000","248,645"
House For Rent In Ragama,"Beds-2, Baths-1 Size-sqft",,,"35,000"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1550sqft",,"29,500,000","419,145"
House For Sale In Negombo,"Beds-5, Baths-3 Size-2850sqft",,"35,000,000","497,290"
House For Sale In Negombo,"Beds-5, Baths-2 Size-2100sqft",,"26,000,000","369,416"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-5000sqft",,"60,000,000","852,498"
House For Rent In Kolonnawa,"Beds-2, Baths-1 Size-3000sqft",,,"30,000"
House For Sale In Dehiwala,"Beds-7, Baths-3 Size-3000sqft",,"85,000,000","1,207,705"
Land For Sale In Hambantota,10 Acres,,"11,000,000","156,291"
House For Sale In Ragama,"Beds-4, Baths-3 Size-sqft",,"25,000,000","355,207"
House For Sale In Kahathuduwa,"Beds-1, Baths-1 Size-1500sqft",,"12,000,000","170,500"
Land For Sale In Kebithigollewa,17 Perches,,"4,250,000","60,385"
Land For Sale In Kosgama,11 Perches,,"2,750,000","39,073"
Land For Sale In Tangalla,35 Perches,,"4,500,000","63,937"
Land For Sale In Narammala,12.5 Perches,,"3,000,000","42,625"
House For Sale In Kelaniya,"Beds-4, Baths-2 Size-sqft",,,
Land For Sale In Maharagama,4.75 Perches,,"10,925,000",
House For Sale In Gothatuwa,"Beds-4, Baths-3 Size-10sqft",,,
House For Sale In Yakkala,"Beds-3, Baths-1 Size-1800sqft",,"6,500,000","92,354"
Land With House For Sale In Kahathuduwa,48 Perches,,"21,600,000","306,899"
Land For Sale In Panadura,6.3 Perches,,"4,252,500","60,421"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
Land For Sale In Gamagoda,10 Perches,,"1,700,000","24,154"
Land With House For Sale In Biyagama,25 Perches,,,
Land For Sale In Hanwella,10 Perches,,"3,000,000","42,625"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
House For Sale In Kotugoda,"Beds-3, Baths-2 Size-2800sqft",,"14,000,000","198,916"
House For Sale In Horana,"Beds-2, Baths-1 Size-1300sqft",,"6,800,000","96,616"
Apartment For Sale In Colombo 15,"Beds-2, Baths-1 Size-2000sqft",,"5,700,000","80,987"
Room For Rent In Piliyandala,"Beds-1, Baths-1",,,"6,500"
Land For Sale In Matale,10 Perches,,"13,000,000","184,708"
Land For Sale In Athurugiriya,7.7 Perches,,"3,542,000","50,326"
Land For Sale In Tangalla,19 Perches,,"3,800,000","53,992"
Land For Sale In Moragahahena,10 Perches,,"4,700,000","66,779"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Bemmulla,"Beds-2, Baths-1 Size-1600sqft",,"6,500,000","92,354"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Galigamuwa Town,10 Perches,,"1,250,000","17,760"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
Land For Sale In Kegalle Meepitiya,10 Perches,,"2,500,000","35,521"
Land For Sale In Uhumiya,16.25 Perches,,"4,143,750","58,876"
House For Rent In Gampaha,"Beds-3, Baths-2 Size-3000sqft",,,"75,000"
House For Sale In Mirigama,"Beds-3, Baths-2 Size-2200sqft",,"50,000,000","710,415"
